id_empresa,status,nome_fantasia,grupo,cidade,estado,pais,latitude,longitude,coordenadas_validas,materias_primas,produtos,associada,data_ultima_atualizacao
56973,A,Ingenio Melchor Ocampo,Zucarmex,El Grullo,JAL,México,19.78712215101622,-104.23630344603713,1,Cana-de-Açúcar,Açúcar,N,1721692800000
56974,A,California Sugar Refiners - Zucarmex,Zucarmex,San Diego,CA,Estados Unidos,32.558837410089545,-116.92447530000001,1,Cana-de-Açúcar,Açúcar,N,1721692800000
56975,A,Ingenio Quesería,BSM - Beta San Miguel,Quesería,Colima,México,19.387989811660436,-103.57245751606034,1,Cana-de-Açúcar,Açúcar | Mel,N,1721692800000
56977,A,Ingenio Alianza Popular,Ingenios Santos,Tamasopo,San Luis Potosí,México,21.965152986215998,-99.29950220253481,1,Cana-de-Açúcar,Açúcar | Mel,N,1721692800000
56978,A,Compañia Industrial Azucarera,Ingenios Santos,Hueyapan de Ocampo,Veracruz,México,18.14930005193082,-95.1434605,1,Cana-de-Açúcar,Açúcar | Mel,N,1721692800000
56980,A,Ingenio De Puga,,Madero,Nay,México,21.584258415221246,-104.82300377184883,1,Cana-de-Açúcar,Açúcar,N,1721692800000
56981,A,Ingenio San Rafael de Pucté,BSM - Beta San Miguel,Quintana,Roo,México,18.276383000897496,-88.68409227560154,1,Cana-de-Açúcar,Açúcar | Mel,N,1721692800000
56982,A,Ingenio Plan de San Luis,Grupo Piasa,Ciudad Valles,San Luis Potosí,México,22.216886240917496,-99.23318218904045,1,Cana-de-Açúcar,Açúcar,N,1721692800000
56983,A,Ingenio San Miguel del Naranjo,BSM - Beta San Miguel,Ciudad Valles,San Luis Potosí,México,22.53249191649883,-99.33459687938554,1,Cana-de-Açúcar,Açúcar | Mel,N,1721692800000
56984,A,Ingenio Eldorado,Grupo Gamsa,Eldorado,Sinaloa,México,24.319351798776975,-107.37028067366197,1,Cana-de-Açúcar,Açúcar,N,1721692800000
56985,A,Ingenio Presidente Benito Juárez,Ingenios Santos,Cardenas,Tabasco,México,18.00762964297174,-93.58619649312766,1,Cana-de-Açúcar,Açúcar,N,1721692800000
56986,A,Ingenio Santa Rosalía de la Chontalpa,BSM - Beta San Miguel,Cardenas,Tabasco,México,18.08856665247728,-93.35625616931246,1,Cana-de-Açúcar,Açúcar | Mel,N,1721692800000
56987,A,Ingenio Azucarero Modelo,Grupo Porres,José Cardel,Veracruz,México,19.37787575062487,-96.37157640680857,1,Cana-de-Açúcar,Açúcar,N,1721692800000
56988,A,Ingenio Central San Miguelito,BSM - Beta San Miguel,Córdoba,Veracruz,México,18.864346419350085,-96.9185718673113,1,Cana-de-Açúcar,Açúcar | Mel,N,1721692800000
56989,A,Ingenio Grupo Azucarero San Pedro,Grupo Porres,Medellín,Veracruz,México,19.22475110076161,-96.25450974489878,1,Cana-de-Açúcar,Açúcar,N,1721692800000
56990,A,Ingenio Panuco,Grupo Pantaleon,Pánuco,Veracruz,México,22.018976270389093,-98.18063039295271,1,Cana-de-Açúcar,Açúcar | Bioeletricidade | Etanol | Mel,N,1721692800000
56997,A,Empresas Iansa,,Bío Bío,Concepción,Chile,-36.517386068477066,-72.05787873197046,1,Beterraba,Açúcar,N,1754352000000
57000,A,Ingenio San Antonio - ISA,,Chichigalpa,Chinandega,Nicaragua,12.531983607754155,-87.0465235299901,1,Cana-de-Açúcar,Açúcar | Bioeletricidade | Etanol,N,1680220800000
57001,A,Montelimar,,Manágua,Manágua,Nicaragua,11.81747071324296,-86.51186777380425,1,Cana-de-Açúcar,Açúcar | Mel,N,1680739200000
57003,A,Consorcio Azucarero de Empresas Industriales - CAEI,,San Pedro de Macoris,San Pedro de Macoris,República Dominicana,18.47088345227625,-69.3301743,1,Cana-de-Açúcar,Açúcar | Bagaço | Mel,N,1680220800000
57006,A,Ingenio Cabaña,,Caloto,Cauca,Colômbia,3.177785276816829,-76.39482374205251,1,Cana-de-Açúcar,Açúcar | Bioeletricidade | Mel,N,1680566400000
57009,A,Ingenio Mayagüez,,Santiago de Cali,Cauca,Colômbia,3.3994009652060195,-76.32866331772283,1,Cana-de-Açúcar,Açúcar | Bioeletricidade | Etanol,N,1680652800000
57023,A,Serpasa Agroindustrial,,Muquém de São Francisco,BA,Brasil,-12.29811446010359,-43.29024278465429,1,Cana-de-Açúcar,Etanol,S,1744588800000
57147,A,Etamil Bioenergia,,Campo Novo do Parecís,MT,Brasil,-13.785877492476542,-57.84437400440511,1,Milho,Etanol,N,1698105600000
57148,A,VMG Bioenergia,,Jataí,GO,Brasil,-17.922596356166697,-51.683757815343775,1,Milho,Etanol,N,1722384000000
57255,I,FZ BioEnergia,,Viadutos,RS,Brasil,-27.57093156585834,-52.020211959342504,1,Milho,Etanol,N,1721347200000
57265,A,Central Ifraín Alfonso Liriano,,Ranchuelo,Villa Clara,Cuba,22.37729493541614,-80.1957374908498,1,Cana-de-Açúcar,Açúcar,N,1721692800000
57267,A,Central Azucarero Augusto César Sandino (Central Merceditas),,Sandino,Artemisa,Cuba,22.982993236943194,-82.90282497116408,1,Cana-de-Açúcar,Açúcar,N,1721692800000
57268,A,Central Azucarero Eduardo García Lavandero (Central El Pilar),,Artemisa,La Habana,Cuba,22.843084854619555,-82.76190475767189,1,Cana-de-Açúcar,Açúcar,N,1721692800000
57269,A,Central Azucarero Pablo Noriega (Central Occidente),,Pablo Noriega,PN,Cuba,22.78763333133029,-82.38871227116408,1,Cana-de-Açúcar,Açúcar,N,1721692800000
57270,A,Central Francisco Gómez Toro,,Amancio,Las Tunas,Cuba,20.970465363793082,-76.92381890437791,1,Cana-de-Açúcar,Açúcar,N,1721692800000
57271,A,Central Azucarero Cándido González (Central Santa Marta),,Cándido Gónzalez,CG,Cuba,20.81329552066168,-78.01635302766323,1,Cana-de-Açúcar,Açúcar,N,1721692800000
57364,A,Ingenio Magdalena,,La Democracia,ES,Guatemala,14.601206521223467,-90.48492057567147,1,Cana-de-Açúcar,Açúcar | Bioeletricidade | Etanol,N,1722211200000
57366,A,Ingenio Madre Tierra,,Escuintla,ES,Guatemala,14.346407794261157,-91.06502522883594,1,Cana-de-Açúcar,Açúcar | Bioeletricidade | Mel,N,1722211200000
57368,A,AGT - Unidade Estrela do Oeste,,Anaurilândia,MS,Brasil,-22.197166707028625,-52.93667400531675,1,Cana-de-Açúcar,Etanol,S,1750377600000
57369,A,Ha-Agro Bioenergia,,Carlinda,MT,Brasil,-9.966750068697872,-55.82328977675312,1,Milho,Etanol,N,1722297600000
57370,A,Inpasa - Sidrolândia,,Sidrolândia,MS,Brasil,-20.94134807602659,-54.962500650802305,1,Milho,Etanol,N,1722297600000
57371,A,Inpasa - Balsas,,Balsas,MA,Brasil,-7.464210747178908,-46.227120844087246,1,Milho,Etanol,N,1722297600000
57372,A,Agricola Alvorada Bioenergia,,Canarana,MT,Brasil,-13.41297764571659,-52.5318604,1,Milho,Etanol,N,1722297600000
57373,A,RRP Energia,,Tapurah,MT,Brasil,-12.737081546683859,-56.51621020476111,1,Milho,Etanol,N,1722384000000
57374,A,Agro Bio Energia,,Júlio de Castilhos,RS,Brasil,-29.225230756973943,-53.68047140765873,1,Milho,Etanol,N,1722384000000
57375,A,Fazendão Agronegócio - Industrial Luzimangues,,Porto Nacional,TO,Brasil,-10.23853146036686,-48.55463309999999,1,Milho,Etanol,N,1722384000000
57376,A,Lazarotto Bioenergia,,Tapurah,MT,Brasil,-12.613618995159273,-56.614987886507784,1,Milho,Etanol,N,1722384000000
57377,A,Álcool Safra - Santa Francisca,,Rio Claro,SP,Brasil,-22.3699118401494,-47.495168632918336,1,Milho,Etanol,N,1722384000000
57379,A,Destilaria Tj - Industria,,Sorriso,MT,Brasil,-12.546599740650498,-55.72659087939602,1,Milho,Etanol,N,1722384000000
57380,A,C. B. Bioenergia,,Santiago,RS,Brasil,-29.093993661057283,-54.92287688889096,1,Trigo,Etanol,N,1722384000000
57381,A,Pantanal Bioenergia,,Jangada,MT,Brasil,-15.235748698100508,-56.49146267536434,1,Batata-Doce,Etanol,N,1722384000000
57382,A,Usiflex JuÍna Agro Energia,,Juína,MT,Brasil,-11.413215108303401,-58.7100187865078,1,Batata-Doce | Milho,Etanol,N,1722384000000
57383,A,Contegran,,Itamaraju,BA,Brasil,-17.035342052141733,-39.536756881881686,1,Cana-de-Açúcar,Açúcar,N,1722816000000
57395,A,Atvos - Unidade Santa Luzia Biometano,,Nova Alvorada do Sul,MS,Brasil,-21.593680569174104,-54.25329143063894,1,Cana-de-Açúcar,Vinhaça,N,1753660800000
57409,A,Uisa Geo Biogas,,Nova Olímpia,MT,Brasil,-14.768786,-57.193697,1,Cana-de-Açúcar,Vinhaça,N,1734048000000
57460,I,Goalcool - Destilaria Serranapolis,Sócias Fundadoras - UDOP 1986,Araçatuba,SP,Brasil,-21.206716766814274,-50.44130921164284,1,,,N,1738108800000
57461,I,Destilaria Vale Verde,Sócias Fundadoras - UDOP 1986,Junqueirópolis,SP,Brasil,-21.509993301333317,-51.439401941966985,1,,,N,1738108800000
57462,I,Cruzálcool,Sócias Fundadoras - UDOP 1986,Araçatuba,SP,Brasil,-21.2070883869993,-50.43407398571137,1,,,N,1738108800000
57463,I,Destilaria Madre Paulina,Sócias Fundadoras - UDOP 1986,Guaimbê,SP,Brasil,-21.911072170557627,-49.89885060991911,1,,,N,1738108800000
60949,A,Trapiche Lucerna,,Cali,Valle del Cauca,Colômbia,3.4736017153351466,-76.52153418900474,1,Cana-de-Açúcar,Açúcar | Mel,N,1753142400000
