id_empresa,status,nome_fantasia,grupo,cidade,estado,pais,latitude,longitude,coordenadas_validas,materias_primas,produtos,associada,data_ultima_atualizacao,builtup_px
21797,A,bp bioenergy - Unidade Ituiutaba,BP Bunge Bioenergia,Ituiutaba,MG,Brasil,-19.018296,-49.673266,1,Cana-de-Açúcar,Açúcar | Etanol,N,1729468800000,319
20701,A,Jalles,Otavio Lage,Goianésia,GO,Brasil,-15.212852,-48.989124,1,Cana-de-Açúcar,Açúcar | Etanol,N,1734048000000,318
20690,A,Iracema,São Martinho,Iracemápolis,SP,Brasil,-22.581614,-47.530011,1,Cana-de-Açúcar,Açúcar | Etanol,N,1748908800000,317
22628,A,Tereos - Tanabi,Tereos,Tanabi,SP,Brasil,-20.489346,-49.538308,1,Cana-de-Açúcar,Açúcar | Bioeletricidade | Etanol,S,1754611200000,314
20524,A,Tereos - Andrade,Viralcool,Pitangueiras,SP,Brasil,-21.005151,-48.286113,1,Cana-de-Açúcar,Açúcar | Etanol,S,1769731200000,313
20502,A,bp bioenergy - Unidade Santa Juliana,BP Bunge Bioenergia,Santa Juliana,MG,Brasil,-19.544355,-47.424434,1,Cana-de-Açúcar,Açúcar | Etanol,N,1729468800000,312
52125,A,Atvos - Unidade Água Emendada,Mubadala Capital,Perolândia,GO,Brasil,-17.535598,-52.258908,1,Cana-de-Açúcar,Açúcar | Bioeletricidade | Crédito de Carbono | Etanol,S,1740441600000,309
22586,A,Viralcool - Unidade Castilho,Irmãos Toniello,Castilho,SP,Brasil,-21.087325,-51.586668,1,Cana-de-Açúcar,Açúcar | Bagaço | Bioeletricidade | Etanol | Levedura,S,1734048000000,308
25151,A,Raízen - Unidade Tarumã,Raízen,Tarumã,SP,Brasil,-22.785556,-50.547311,1,Cana-de-Açúcar,Açúcar | Etanol,N,1734048000000,308
22627,A,Colombo - Palestina,Colombo,Palestina,SP,Brasil,-20.21203355892436,-49.61284114570899,1,Cana-de-Açúcar,Açúcar | Etanol,N,1759276800000,307
22122,A,Usina Caeté - Unidade Paulicéia,Carlos Lyra,Paulicéia,SP,Brasil,-21.278599,-51.779876,1,Cana-de-Açúcar,Açúcar | Bioeletricidade | Etanol,S,1744243200000,304
22656,A,Cocal - Unidade Rio Brilhante,Cocal,Rio Brilhante,MS,Brasil,-21.731627,-54.504795,1,Cana-de-Açúcar,Açúcar | Etanol,N,1756857600000,301
20923,A,Delta - Unidade Volta Grande,Delta,Conceição das Alagoas,MG,Brasil,-19.981812,-48.26577,1,Cana-de-Açúcar,Açúcar | Etanol,N,1693353600000,295
20738,A,Raízen - Unidade Maracaí,Raízen,Maracaí,SP,Brasil,-22.575563,-50.653431,1,Cana-de-Açúcar,Açúcar | Etanol,N,1734048000000,295
