safra,quinzena,producao
2013/2014,1ª Mai,2081047
2013/2014,1ª Mar,3158
2013/2014,1ª Nov,1974949
2013/2014,1ª Out,1907232
2013/2014,1ª Set,2977237
2013/2014,2ª Abr,1456707
2013/2014,2ª Ago,3229199
2013/2014,2ª Dez,254283
2013/2014,2ª Fev,0
2013/2014,2ª Jan,2253
2013/2014,2ª Jul,2541255
2013/2014,2ª Jun,1510223
2013/2014,2ª Mai,1857804
2013/2014,2ª Mar,161925
2013/2014,2ª Nov,1432574
2013/2014,2ª Out,2464842
2013/2014,2ª Set,2304133
2014/2015,1ª Abr,421415
2014/2015,1ª Ago,2797835
2014/2015,1ª Dez,383182
2014/2015,1ª Fev,4734
2014/2015,1ª Jan,14544
2014/2015,1ª Jul,2548853
2014/2015,1ª Jun,2320660
2014/2015,1ª Mai,1912138
2014/2015,1ª Mar,23251
2014/2015,1ª Nov,1193871
2014/2015,1ª Out,2363987
2014/2015,1ª Set,2502101
2014/2015,2ª Abr,940386
2014/2015,2ª Ago,3018162
2014/2015,2ª Dez,123401
2014/2015,2ª Fev,4036
2014/2015,2ª Jan,13522
2014/2015,2ª Jul,2238223
2014/2015,2ª Jun,2584913
2014/2015,2ª Mai,2023833
2014/2015,2ª Mar,142670
2014/2015,2ª Nov,758827
2014/2015,2ª Out,2040895
2014/2015,2ª Set,1635276
2015/2016,1ª Abr,395716
2015/2016,1ª Ago,2882838
2015/2016,1ª Dez,644413
2015/2016,1ª Fev,49734
2015/2016,1ª Jan,26462
2015/2016,1ª Jul,1451524
2015/2016,1ª Jun,1977086
2015/2016,1ª Mai,1223087
2015/2016,1ª Mar,140528
2015/2016,1ª Nov,1202624
2015/2016,1ª Out,2099223
2015/2016,1ª Set,1671747
2015/2016,2ª Abr,1053241
2015/2016,2ª Ago,2850454
2015/2016,2ª Dez,387676
2015/2016,2ª Fev,12943
2015/2016,2ª Jan,93592
2015/2016,2ª Jul,2805419
2015/2016,2ª Jun,2530301
2015/2016,2ª Mai,1975542
2015/2016,2ª Mar,464651
2015/2016,2ª Nov,706762
2015/2016,2ª Out,2180043
2015/2016,2ª Set,2395881
2016/2017,1ª Abr,1437979
2016/2017,1ª Ago,2979475
2016/2017,1ª Dez,375231
2016/2017,1ª Fev,9134
2016/2017,1ª Jan,35495
2016/2017,1ª Jul,2842474
2016/2017,1ª Jun,1202897
2016/2017,1ª Mai,2070997
2016/2017,1ª Mar,72612
2016/2017,1ª Nov,1367162
2016/2017,1ª Out,2254754
2016/2017,1ª Set,2418751
2016/2017,2ª Abr,1813391
2016/2017,2ª Ago,2547589
2016/2017,2ª Dez,131464
2016/2017,2ª Fev,19176
2016/2017,2ª Jan,11359
2016/2017,2ª Jul,3116171
2016/2017,2ª Jun,2803088
2016/2017,2ª Mai,1687254
2016/2017,2ª Mar,270098
2016/2017,2ª Nov,1136247
2016/2017,2ª Out,2062461
2016/2017,2ª Set,2962260
2017/2018,1ª Abr,707217
2017/2018,1ª Ago,3169878
2017/2018,1ª Dez,511250
2017/2018,1ª Fev,4622
2017/2018,1ª Jan,2829
2017/2018,1ª Jul,3114260
2017/2018,1ª Jun,2389515
2017/2018,1ª Mai,2115719
2017/2018,1ª Mar,47656
2017/2018,1ª Nov,1254653
2017/2018,1ª Out,1990216
2017/2018,1ª Set,3137398
2017/2018,2ª Abr,1132428
2017/2018,2ª Ago,2545222
2017/2018,2ª Dez,116133
2017/2018,2ª Fev,5019
2017/2018,2ª Jan,3794
2017/2018,2ª Jul,3424557
2017/2018,2ª Jun,2984361
2017/2018,2ª Mai,1758969
2017/2018,2ª Mar,166225
2017/2018,2ª Nov,727891
2017/2018,2ª Out,1890839
2017/2018,2ª Set,2858856
2018/2019,1ª Abr,712543
2018/2019,1ª Ago,1711019
2018/2019,1ª Dez,431561
2018/2019,1ª Fev,1647
2018/2019,1ª Jan,12923
2018/2019,1ª Jul,2395565
2018/2019,1ª Jun,1985458
2018/2019,1ª Mai,1906953
2018/2019,1ª Mar,9078
2018/2019,1ª Nov,886221
2018/2019,1ª Out,1123189
2018/2019,1ª Set,2157592
2018/2019,2ª Abr,1537501
2018/2019,2ª Ago,2382843
2018/2019,2ª Dez,73497
2018/2019,2ª Fev,1229
2018/2019,2ª Jan,5358
2018/2019,2ª Jul,2621990
2018/2019,2ª Jun,2287110
2018/2019,2ª Mai,1346126
2018/2019,2ª Mar,138833
2018/2019,2ª Nov,532831
2018/2019,2ª Out,959609
2018/2019,2ª Set,1289376
2019/2020,1ª Abr,340097
2019/2020,1ª Ago,2129667
2019/2020,1ª Dez,50176
2019/2020,1ª Fev,2508
2019/2020,1ª Jan,4274
2019/2020,1ª Jul,1942115
2019/2020,1ª Jun,1870217
2019/2020,1ª Mai,1604551
2019/2020,1ª Mar,40832
2019/2020,1ª Nov,791073
2019/2020,1ª Out,1913631
2019/2020,1ª Set,2038316
2019/2020,2ª Abr,1042176
2019/2020,2ª Ago,2521365
2019/2020,2ª Dez,12937
2019/2020,2ª Fev,0
2019/2020,2ª Jan,3648
2019/2020,2ª Jul,2480939
2019/2020,2ª Jun,2211806
2019/2020,2ª Mai,1870663
2019/2020,2ª Mar,226717
2019/2020,2ª Nov,347993
2019/2020,2ª Out,1518472
2019/2020,2ª Set,1797181
2020/2021,1ª Abr,971453
2020/2021,1ª Ago,3236295
2020/2021,1ª Dez,94179
2020/2021,1ª Fev,21350
2020/2021,1ª Jan,7698
2020/2021,1ª Jul,3030086
2020/2021,1ª Jun,2559833
