year,month,kgms_000,mean,std,milk_z,index,n_obs
2019,9,220982,216739.9,7570.952185088004,0.5603126127721934,0.40793049177549057,19
2019,10,266907,260403.1,8109.454652852229,0.80201447303395,0.1532769190553155,22
2019,11,249135,243114.3,5648.270808152016,1.065936851205944,-0.0966221677684422,29
2019,12,228700,225552.5,6255.264045408292,0.5031762012205445,-0.06676504320681696,19
2020,1,211377,207132.45454545456,6859.370369992224,0.618795199208678,-0.3597808308820844,33
2020,2,167874,169826.45454545456,6377.939045861705,-0.30612624727440746,-0.409478988825569,24
2020,3,161619,172621.54545454544,8500.660896231966,-1.2943164759604127,-0.3644054830307219,29
2020,4,135699,146264.0909090909,8241.571057201963,-1.281926811740405,-0.6562533306425643,12
2020,5,91147,94232.90909090909,8302.620025685203,-0.3716789497005089,-0.08294363695999625,32
2020,6,20321,19870.18181818182,3476.833180300195,0.1296634490180676,0.20684612565378874,15
2020,7,24795,24999.090909090908,3057.822933217209,-0.0667438610894906,0.13949319048583733,26
2020,8,124643,118111.0,5584.631291917733,1.1696385416622457,-0.20486277052360904,28
2020,9,224952,216739.9,7570.952185088004,1.0846852283884223,0.18934280413966056,22
2020,10,267666,260403.1,8109.454652852229,0.8956089294420695,-0.029631701654637986,26
2020,11,242303,243114.3,5648.270808152016,-0.14363688065895464,1.3080321356680666,9
2020,12,231027,225552.5,6255.264045408292,0.8751828796129852,0.347642456534044,18
2021,1,212222,207132.45454545456,6859.370369992224,0.7419843484193157,0.22621361391762101,28
2021,2,172916,169826.45454545456,6377.939045861705,0.48441125453371614,-0.12837500850468217,30
2021,3,175606,172621.54545454544,8500.660896231966,0.3510850017293901,-0.22253964716332167,29
2021,4,151501,146264.0909090909,8241.571057201963,0.6354260679864882,-0.12298279751681064,24
2021,5,99675,94232.90909090909,8302.620025685203,0.6554666951221563,-0.1772874646325069,22
2021,6,20642,19870.18181818182,3476.833180300195,0.22198884496136229,0.04519385083758116,12
2021,7,26600,24999.090909090908,3057.822933217209,0.5235453869870539,0.14947204910165238,16
2021,8,119435,118111.0,5584.631291917733,0.23707921450716676,0.23109287228330808,23
2021,9,215896,216739.9,7570.952185088004,-0.11146550385857242,-0.17200174706232113,39
2021,10,259461,260403.1,8109.454652852229,-0.11617304002910402,-0.21215113466077098,15
2021,11,239452,243114.3,5648.270808152016,-0.6483931320563238,-0.23282792886898343,28
2021,12,218357,225552.5,6255.264045408292,-1.1503111535766253,0.2346885661786983,43
2022,1,199256,207132.45454545456,6859.370369992224,-1.1482766085808378,-0.1644311394714092,51
2022,2,160430,169826.45454545456,6377.939045861705,-1.4732744351878688,0.0058034150262108635,54
2022,3,173051,172621.54545454544,8500.660896231966,0.050520136104349286,-0.032603914474649096,21
2022,4,143603,146264.0909090909,8241.571057201963,-0.3228863636097023,-0.25501654504599747,51
2022,5,92893,94232.90909090909,8302.620025685203,-0.16138388686509927,0.18419493402841086,41
2022,6,20872,19870.18181818182,3476.833180300195,0.28814099781792857,0.02379970739877408,36
2022,7,25146,24999.090909090908,3057.822933217209,0.048043687982457936,-0.16990190113632764,34
2022,8,113595,118111.0,5584.631291917733,-0.8086478343764087,0.08997207476913087,57
2022,9,207787,216739.9,7570.952185088004,-1.1825328942948445,0.2415993455043099,27
2022,10,252061,260403.1,8109.454652852229,-1.0286881617946964,-0.12440805757654105,55
2022,11,237324,243114.3,5648.270808152016,-1.0251456059158823,-0.04477980348068159,38
2022,12,219566,225552.5,6255.264045408292,-0.9570339407805527,0.23528886216920417,47
2023,1,203101,207132.45454545456,6859.370369992224,-0.5877295331785866,0.4045157046620855,49
2023,2,164082,169826.45454545456,6377.939045861705,-0.9006756734656817,0.27086473108140685,49
2023,3,174732,172621.54545454544,8500.660896231966,0.24826946648231157,0.5782405674798888,71
2023,4,154060,146264.0909090909,8241.571057201963,0.94592511995593,0.2547903824271785,55
2023,5,100742,94232.90909090909,8302.620025685203,0.7839803446326844,-0.18119064095157575,34
