date,eurostat_z,eurostat_level,sat_all,sat_clean,n,n_plants,sat_clean_3m
2020-07-01,0.2916367246500268,90.38333333333333,0.3157835417178828,0.4453553518986244,13,6,0.23460009653223102
2020-08-01,-0.7151698879894091,80.73333333333333,0.1614132450428125,0.08244034112842319,16,7,0.19696461936534207
2020-09-01,0.25444576955562653,100.48333333333333,-0.19691476022095955,0.06309816506897872,10,4,-0.08975229962437155
2020-10-01,0.2345996683689632,111.58333333333333,-0.43688164997788975,-0.4147954050705165,14,5,0.061126902673181605
2020-11-01,-0.26776572168011964,102.55,0.037685427122174445,0.5350779480210827,7,4,0.1520817333081961
2020-12-01,0.05321381191255801,101.46666666666668,0.24761655982222425,0.3359626569740222,12,5,0.4674618521831511
2021-02-01,-0.25189239807271085,114.64999999999999,-0.14687027049508672,0.5313449515543485,6,4,0.29290857412619486
2021-03-01,0.4392582434522893,128.0,0.09065237286873566,0.011418113850213955,15,6,0.07853063081377792
2021-04-01,-0.16929704771779616,93.33333333333333,-0.03011872152246002,-0.30717117296322854,11,6,-0.20437338009117778
2021-05-01,-0.39812956013241824,84.46666666666667,-0.18253619069315927,-0.3173670811605186,10,5,-0.26449897888389245
2021-06-01,-0.46098454413338447,83.41666666666667,-0.034321320329025,-0.16895868252793003,14,7,0.0033088724836072836
2021-07-01,-0.7202203880945272,78.91666666666667,0.5152994268864967,0.49625238113927056,17,7,0.3542844501759339
2021-08-01,-0.09779195509335557,87.14999999999999,0.5541191929463166,0.7355596519164613,10,6,0.4890508139083243
2021-09-01,-0.1662568029004243,96.96666666666665,0.20433931380040787,0.23534040866924097,17,5,0.13611278425561132
2021-10-01,-0.2651656573762542,104.2,-0.10923592717476749,-0.5625617078188683,9,6,-0.3796669357162945
2021-11-01,0.3638046255401028,110.56666666666666,-0.4909476400011304,-0.811779507999256,11,3,-0.6935361740108128
2021-12-01,0.1335505377601126,105.43333333333334,-0.725454896145424,-0.7062673062143138,10,4,-0.5078671528222214
2022-01-01,-0.4697980858722908,109.60000000000001,-0.0974343582924488,-0.0055546442530942305,19,4,-0.27181456612697447
2022-02-01,-1.8469951511874614,103.33333333333333,0.07789063506655315,-0.10362174791351526,22,5,0.007586059646466183
2022-03-01,-1.0336082575586345,109.18333333333334,0.2553479193194335,0.13193457110600815,12,4,-0.05514525521307594
2022-04-01,-0.7267472347752703,89.21666666666665,0.2897608649967933,-0.1937485888317206,23,6,-0.08224827681871749
2022-05-01,-0.21666947451580398,91.68333333333334,-0.24964453375447893,-0.18493081273043993,30,7,-0.15054422107653542
2022-06-01,-1.515884008758453,81.45,0.09843875001506439,-0.07295326166744565,31,7,-0.15263624081008542
2022-07-01,-2.614893731569748,78.31666666666666,-0.5985815926602165,-0.2000246480323706,28,6,-0.22151961995271863
2022-08-01,-2.393484769667887,71.51666666666667,-0.5605051392033237,-0.39158095015833955,29,7,-0.36403808648516245
2022-09-01,-1.3253761328138232,88.05,-0.3072700361399961,-0.500508661264777,14,6,0.061078475321143445
2022-10-01,-9.7840588329747,91.63333333333333,0.5772687221654144,1.075325037386547,21,5,0.3586348308490397
2022-11-01,-2.087188467652361,86.43333333333334,0.20866634275500526,0.5010881164253491,9,3,0.5623224836103872
2022-12-01,-5.036815202547268,74.0,0.11055429701926549,0.11055429701926549,14,4,-0.34419605852927576
2023-01-01,-5.880212732592021,69.39999999999999,-1.8146536117637675,-1.6442305890324416,12,3,-0.4700899536152752
2023-02-01,-6.382983316208289,71.8,0.046610394328527656,0.12340643116735062,16,5,-0.8096893629249854
2023-03-01,-3.809096616716739,85.75,-0.8854064568093203,-0.9082439309098653,14,6,-0.17849395103789067
2023-04-01,-3.734875739482493,59.21666666666667,0.3555960471276821,0.24935564662884288,24,5,-0.4148312988299323
2023-05-01,-2.7884458090825466,67.25,-0.4371821742983734,-0.5856056122087742,31,7,-0.12449683891839992
2023-06-01,-1.8820521212167147,75.71666666666665,-0.17901291111341752,-0.03724055117526833,37,7,-0.15652157381919404
2023-07-01,-2.4007784402545136,75.88333333333334,0.1608607770065249,0.1532814419264606,27,7,0.0027596360347567905
2023-08-01,-0.6693321769094999,83.56666666666666,0.1007496813930939,-0.10776198264692172,27,7,0.3173514211205851
2023-09-01,-1.235162706833574,87.68333333333334,1.031820445353906,0.9065348040822166,23,6,0.3181255716833976
