safra_start,year,month,half,moagem_t,clim_mean,clim_std,crush_z,q_ord,sat_idx,n_obs,pred_z,carry,sigma,pred_t,pi80_lo,pi80_hi
2019,2019,5,2,44303830,40362949.705882356,5126005.382997768,0.7688014349709785,12,0.24058193502108693,130.0,0.5088803904361525,0.16041867300689328,0.7553316265690652,42971473.32656008,38009330.89299699,47933615.76012317
2019,2019,6,1,42509449,38371575.375,5886870.709300845,0.7028986756006801,13,-0.04132657378187124,161.0,0.26432075979330827,0.4400063393506824,0.7553316265690652,39927597.51368737,34228912.32611193,45626282.70126282
2019,2019,6,2,46477476,43109819.4375,5425478.267419443,0.6207114647796352,14,0.04901572918526356,188.0,0.4593477475073679,0.5540297329358652,0.7553316265690652,45602000.6587893,40349958.586724214,50854042.730854385
2019,2019,7,1,40954319,43630313.375,4973429.180907848,-0.5380582044422566,15,-0.10710960444852828,146.0,0.2512283588768495,0.5820077689202613,0.7553316265690652,44879779.826109715,40065336.19310846,49694223.45911097
2019,2019,7,2,49848421,47575715.4375,4402239.455398384,0.5162612314768621,16,-0.0476190298910296,139.0,0.07257482513512487,0.12107830452063678,0.7553316265690652,47895207.19617849,43633694.07393456,52156720.318422414
2019,2019,8,1,42809380,43714673.8125,3978554.0410951176,-0.2275434248596541,17,0.17006021150843637,147.0,0.47720126464288276,0.28185185355650116,0.7553316265690652,45613244.83236064,41761873.17812401,49464616.48659727
2019,2019,8,2,47905009,44622249.0,3476766.8194732494,0.944199070703671,18,0.017614488731248004,208.0,0.140416086772364,0.07601942555368478,0.7553316265690652,45110442.991410434,41744817.93301008,48476068.04981079
2019,2019,9,1,39568700,40311478.3125,4017887.737201921,-0.18486786119546358,19,-0.04894458036664144,167.0,0.24501799122600296,0.42540387779174843,0.7553316265690652,41295933.0948408,37406485.12426478,45185381.06541683
2019,2019,9,2,35173545,35743300.0,6045467.473542648,-0.09424498642883661,20,0.03656924461600128,168.0,0.22743189079529058,0.1804063383364473,0.7553316265690652,37118232.098249234,31266020.007194452,42970444.18930402
2019,2019,10,1,37590707,31758321.4375,5711183.589325024,1.0212218660596937,21,0.1579466869530279,108.0,0.3386167441608053,0.0703061442727056,0.7553316265690652,33692223.82982186,28163609.574273545,39220838.085370176
2019,2019,10,2,32759805,30636118.5625,5779666.13063389,0.36744102332206563,22,0.17495415845691625,210.0,0.5812287112697031,0.4511698674425124,0.7553316265690652,33995426.45917749,28400518.842854697,39590334.07550027
2019,2019,11,1,19891758,22908959.9375,5598769.207336156,-0.538904503073017,23,-0.25281094693843004,114.0,-0.05211220945268541,0.41765206384772335,0.7553316265690652,22617195.70389005,17197402.281199213,28036989.12658089
2019,2019,11,2,10879954,16667879.3125,6517680.900922543,-0.8880344712305185,24,-0.17664319588396804,103.0,-0.16206406938588946,0.034849449037887184,0.7553316265690652,15611597.422737803,9302267.144981138,21920927.70049447
2020,2020,4,1,22510291,15354818.235294119,7400591.804197119,0.9668784543214204,9,0.5014573977785057,190.0,0.7077519823963826,0.0,0.7545804661493948,20592601.75562105,13435709.031257283,27749494.479984816
2020,2020,4,2,38191803,28043626.70588235,8516875.157387866,1.1915375189355368,10,0.10450711999245649,180.0,0.7523176728747163,0.9668784543214204,0.7545804661493948,34451022.404452875,26214605.174461283,42687439.63444447
2020,2020,5,1,42338660,38255510.35294118,6248359.632209185,0.6534754539432894,11,0.18046036454445044,134.0,0.9308333234660832,1.1072903697052432,0.7545804661493948,44071691.715601765,38029088.53275838,50114294.89844515
2020,2020,5,2,42424941,40362949.705882356,5126005.382997768,0.40226085227241015,12,-0.17853642792004334,188.0,0.3354475953936884,0.8757521473777158,0.7545804661493948,42082455.88558406,37125248.19175878,47039663.57940933
2020,2020,6,1,41811625,38371575.375,5886870.709300845,0.5843596360227449,13,0.16036648361597933,111.0,0.6468030158792775,0.6581550448477038,0.7545804661493948,42179221.103867166,36486203.131335415,47872239.07639892
2020,2020,6,2,43116763,43109819.4375,5425478.267419443,0.0012798065272322276,14,-0.056886487862117384,158.0,0.3486360837980019,0.6261480146495086,0.7545804661493948,45001336.933384284,39754517.89976776,50248155.96700081
2020,2020,7,1,46755232,43630313.375,4973429.180907848,0.6283227349443384,15,0.07553313520754514,122.0,0.3684652577100662,0.36396848318037417,0.7545804661493948,45462849.239845976,40653193.4634267,50272505.01626525
2020,2020,7,2,50840633,47575715.4375,4402239.455398384,0.7416492436585413,16,0.1456537682905082,213.0,0.5212925401699856,0.47275552481465327,0.7545804661493948,49870570.02564116,45613294.8829452,54127845.168337114
2020,2020,8,1,46580681,43714673.8125,3978554.0410951176,0.7203640211736615,17,0.15636501816480408,209.0,0.5979641181826891,0.58215042662622,0.7545804661493948,46093706.37132562,42246164.82011439,49941247.92253685
2020,2020,8,2,42248068,44622249.0,3476766.8194732494,-0.6828703572245038,18,-0.025947288983643135,163.0,0.39528991345884784,0.6379986862275882,0.7545804661493948,45996579.85518617,42634301.83567893,49358857.874693416
2020,2020,9,1,44672503,40311478.3125,4017887.737201921,1.0854023239925168,19,0.022650716152416813,190.0,0.15234123663246804,0.10643691810412893,0.7545804661493948,40923568.29903577,37037988.29753068,44809148.300540864
2020,2020,9,2,40383654,35743300.0,6045467.473542648,0.7675757119375831,20,0.14585045057382431,206.0,0.5368886587602957,0.49944891641909767,0.7545804661493948,38989042.92344931,33142650.72651214,44835435.120386474
2020,2020,10,1,36986558,31758321.4375,5711183.589325024,0.9154383641724078,21,-0.22941275927353896,181.0,0.11541940264035577,0.6069336053988534,0.7545804661493948,32417502.8357493,26894386.66350415,37940619.00799444
2020,2020,10,2,26932127,30636118.5625,5779666.13063389,-0.6408660083093349,22,-0.1679234777510816,61.0,0.26562466239694577,0.7304968911349362,0.7545804661493948,32171340.42721669,26581996.82146259,37760684.03297079
2020,2020,11,1,20365242,22908959.9375,5598769.207336156,-0.4543352017737981,23,-0.07761182640701693,54.0,0.06638420354935069,0.18152153140548272,0.7545804661493948,23280629.77218564,17866226.212912023,28695033.331459254
2020,2020,11,2,8735795,16667879.3125,6517680.900922543,-1.2170102269623626,24,-0.1928070444074957,168.0,-0.2282196820132283,-0.07294080623652902,0.7545804661493948,15180416.249827765,8877360.460008016,21483472.039647512
2021,2021,4,1,15664985,15354818.235294119,7400591.804197119,0.04191107588584682,9,-0.09490583542796964,181.0,-0.02125387485048727,0.0,0.7457532650651448,15197526.983268172,8124356.716681169,22270697.249855176
2021,2021,4,2,29675241,28043626.70588235,8516875.157387866,0.19157428798311352,10,-0.10944103960032768,203.0,-0.016795908369458563,0.04191107588584682,0.7457532650651448,27900578.05114475,19760511.72654291,36040644.37574659
2021,2021,5,1,41491812,38255510.35294118,6248359.632209185,0.5179442025673845,11,0.14459511769922476,92.0,0.3266090041113052,0.1354505834466385,0.7457532650651448,40296280.8697463,34324365.01020387,46268196.72928873
2021,2021,5,2,43738111,40362949.705882356,5126005.382997768,0.6584388899224677,12,-0.0195720420186414,117.0,0.23505668011268815,0.3306003891204885,0.7457532650651448,41567851.51344958,36668634.01562432,46467069.01127484
2021,2021,6,1,36554928,38371575.375,5886870.709300845,-0.30859304793798575,13,0.1884885555454202,99.0,0.5540814841224362,0.4812614648566921,0.7457532650651448,41633381.43444631,36006961.28239118,47259801.58650144
2021,2021,6,2,45544205,43109819.4375,5425478.267419443,0.44869510898582654,14,-0.1688984087668691,169.0,-0.036646232891745525,0.1386805693003606,0.7457532650651448,42910996.09736304,37725555.17879201,48096437.01593407
2021,2021,7,1,46187841,43630313.375,4973429.180907848,0.5142382714160111,15,-0.07761001550068347,217.0,0.13595697332862028,0.26875514455775606,0.7457532650651448,44306485.75350047,39553094.08752276,49059877.41947818
2021,2021,7,2,46974671,47575715.4375,4402239.455398384,-0.1365315184668,16,-0.18562638710142104,154.0,0.061753138509432454,0.36977634230223805,0.7457532650651448,47847567.54034091,43640094.67247367,52055040.40820815
2021,2021,8,1,44830772,43714673.8125,3978554.0410951176,0.28052859807147124,17,-0.0693008447120625,197.0,0.09209298689702664,0.1637934768288737,0.7457532650651448,44081070.73767568,40278538.33323691,47883603.14211445
2021,2021,8,2,43315847,44622249.0,3476766.8194732494,-0.37575197527855136,18,-0.3729506876953187,125.0,-0.2372929927549941,0.21096288427465143,0.7457532650651448,43797236.59629593,40474291.03437375,47120182.15821811
2021,2021,9,1,38575106,40311478.3125,4017887.737201921,-0.4321604848295784,19,-0.3244030281311443,178.0,-0.3012140003397718,-0.02515074839352101,0.7457532650651448,39101234.274261296,35261108.39930847,42941360.14921412
2021,2021,9,2,36032224,35743300.0,6045467.473542648,0.04779183764769978,20,-0.3127139300255361,173.0,-0.3709486115323549,-0.1885474413596264,0.7457532650651448,33500742.23462534,27722742.053987116,39278742.41526356
2021,2021,10,2,17058751,30636118.5625,5779666.13063389,-2.3491612241295488,22,-0.4242076485032845,148.0,-0.8632262815932847,-0.8992618791250188,0.7457532650651448,25646958.85970226,20123000.27536109,31170917.444043428
2021,2021,11,1,12582198,22908959.9375,5598769.207336156,-1.8444700174403832,23,-0.37847954608897333,265.0,-1.1060401209003463,-1.479676454156846,0.7457532650651448,16716496.566524781,11365431.552460106,22067561.58058946
2021,2021,11,2,3875035,16667879.3125,6517680.900922543,-1.962790831120505,24,-0.4618548433089876,88.0,-1.2775482437553982,-1.6256625199263428,0.7457532650651448,8341227.524168303,2111905.8732481543,14570549.175088452
2022,2022,4,1,5287706,15354818.235294119,7400591.804197119,-1.360311783388016,9,-0.07396751192745538,155.0,-0.05424690574702436,0.0,0.7149982356919163,14953359.029219637,8171887.866748159,21734830.191691115
2022,2022,4,2,24014528,28043626.70588235,8516875.157387866,-0.47307241581290016,10,-0.08220125177929932,331.0,-0.8518602377383394,-1.360311783388016,0.7149982356919163,20788439.40952217,12984071.218124328,28592807.600920007
2022,2022,5,1,34289760,38255510.35294118,6248359.632209185,-0.6346866355928744,11,0.08464873487442043,252.0,-0.25322738486789176,-0.8057871786535686,0.7149982356919163,36673254.58356275,30947621.853144307,42398887.31398119
