quinzena_start,index,n_obs,n_mills
2025-06-01,-0.05146225556345087,309,142
2025-06-16,-0.07986165953853701,333,152
2025-07-01,0.04005345383909243,289,146
2025-07-16,0.09155977661810848,398,152
2025-08-01,0.11661206237065153,338,137
2025-08-16,-0.1287474653600838,409,147
2025-09-01,0.0059534908327425464,316,147
2025-09-16,0.0005641579370788091,256,129
2025-10-01,-0.09462557621094607,172,110
2025-10-16,-0.1902231469951974,174,93
2025-11-01,-0.15349029688081198,202,113
2025-11-16,-0.01950582542256842,309,146
2025-12-01,0.04379640278745527,133,83
2025-12-16,0.03356676403831404,142,101
2026-01-01,-0.17350942714208126,113,76
2026-01-16,-0.15143565639587056,152,82
2026-02-01,-0.019264012035208774,208,108
2026-02-16,-0.10183946743916102,105,81
2026-03-01,0.02558766810967412,213,134
2026-03-16,-0.1374471752453404,209,126
2026-04-01,0.034987481847662524,330,143
2026-04-16,-0.003730150000056026,355,153
2026-05-01,0.12107660796099279,329,150
2026-05-16,-0.03213853074495332,185,109
2026-06-01,0.09146779286386958,250,151
2026-06-16,-0.3089139226618258,134,75
2026-07-01,0.247578346095212,329,141
2026-07-16,-0.19432727949168396,305,148
2026-08-01,0.08472100389253097,293,145
2026-08-16,0.2490664835063727,161,117
